clients,split,aggregation,round,test_accuracy
2,iid,weighted_fedavg,1,0.9096
2,iid,weighted_fedavg,2,0.9166
2,iid,weighted_fedavg,3,0.9147
2,iid,weighted_fedavg,4,0.9129
2,iid,weighted_fedavg,5,0.9138
2,iid,weighted_fedavg,6,0.9113
2,iid,weighted_fedavg,7,0.9132
2,iid,weighted_fedavg,8,0.9116
2,iid,weighted_fedavg,9,0.9108
2,iid,weighted_fedavg,10,0.9145
2,iid,weighted_fedavg,11,0.9107
2,iid,weighted_fedavg,12,0.9121
2,iid,uniform_average,1,0.9096
2,iid,uniform_average,2,0.9166
2,iid,uniform_average,3,0.9147
2,iid,uniform_average,4,0.9129
2,iid,uniform_average,5,0.9138
2,iid,uniform_average,6,0.9113
2,iid,uniform_average,7,0.9132
2,iid,uniform_average,8,0.9116
2,iid,uniform_average,9,0.9108
2,iid,uniform_average,10,0.9145
2,iid,uniform_average,11,0.9107
2,iid,uniform_average,12,0.9121
2,non_iid,weighted_fedavg,1,0.7386
2,non_iid,weighted_fedavg,2,0.715
2,non_iid,weighted_fedavg,3,0.7098
2,non_iid,weighted_fedavg,4,0.721
2,non_iid,weighted_fedavg,5,0.7275
2,non_iid,weighted_fedavg,6,0.7278
2,non_iid,weighted_fedavg,7,0.7194
2,non_iid,weighted_fedavg,8,0.7159
2,non_iid,weighted_fedavg,9,0.7189
2,non_iid,weighted_fedavg,10,0.7346
2,non_iid,weighted_fedavg,11,0.7148
2,non_iid,weighted_fedavg,12,0.7192
2,non_iid,uniform_average,1,0.7386
2,non_iid,uniform_average,2,0.715
2,non_iid,uniform_average,3,0.7098
2,non_iid,uniform_average,4,0.721
2,non_iid,uniform_average,5,0.7275
2,non_iid,uniform_average,6,0.7278
2,non_iid,uniform_average,7,0.7194
2,non_iid,uniform_average,8,0.7159
2,non_iid,uniform_average,9,0.7189
2,non_iid,uniform_average,10,0.7346
2,non_iid,uniform_average,11,0.7148
2,non_iid,uniform_average,12,0.7192
5,iid,weighted_fedavg,1,0.9084
5,iid,weighted_fedavg,2,0.9082
5,iid,weighted_fedavg,3,0.9082
5,iid,weighted_fedavg,4,0.91
5,iid,weighted_fedavg,5,0.9069
5,iid,weighted_fedavg,6,0.9094
5,iid,weighted_fedavg,7,0.908
5,iid,weighted_fedavg,8,0.9089
5,iid,weighted_fedavg,9,0.9076
5,iid,weighted_fedavg,10,0.9082
5,iid,weighted_fedavg,11,0.9082
5,iid,weighted_fedavg,12,0.9097
5,iid,uniform_average,1,0.9084
5,iid,uniform_average,2,0.9082
5,iid,uniform_average,3,0.9082
5,iid,uniform_average,4,0.91
5,iid,uniform_average,5,0.9069
5,iid,uniform_average,6,0.9094
5,iid,uniform_average,7,0.908
5,iid,uniform_average,8,0.9089
5,iid,uniform_average,9,0.9076
5,iid,uniform_average,10,0.9082
5,iid,uniform_average,11,0.9082
5,iid,uniform_average,12,0.9097
5,non_iid,weighted_fedavg,1,0.5669
5,non_iid,weighted_fedavg,2,0.557
5,non_iid,weighted_fedavg,3,0.5631
5,non_iid,weighted_fedavg,4,0.5626
5,non_iid,weighted_fedavg,5,0.5665
5,non_iid,weighted_fedavg,6,0.5641
5,non_iid,weighted_fedavg,7,0.5578
5,non_iid,weighted_fedavg,8,0.5619
5,non_iid,weighted_fedavg,9,0.5658
5,non_iid,weighted_fedavg,10,0.5628
5,non_iid,weighted_fedavg,11,0.563
5,non_iid,weighted_fedavg,12,0.566
5,non_iid,uniform_average,1,0.5669
5,non_iid,uniform_average,2,0.557
5,non_iid,uniform_average,3,0.5631
5,non_iid,uniform_average,4,0.5626
5,non_iid,uniform_average,5,0.5665
5,non_iid,uniform_average,6,0.5641
5,non_iid,uniform_average,7,0.5578
5,non_iid,uniform_average,8,0.5619
5,non_iid,uniform_average,9,0.5658
5,non_iid,uniform_average,10,0.5628
5,non_iid,uniform_average,11,0.563
5,non_iid,uniform_average,12,0.566
10,iid,weighted_fedavg,1,0.902
10,iid,weighted_fedavg,2,0.9017
10,iid,weighted_fedavg,3,0.9005
10,iid,weighted_fedavg,4,0.9004
10,iid,weighted_fedavg,5,0.9038
10,iid,weighted_fedavg,6,0.9044
10,iid,weighted_fedavg,7,0.9019
10,iid,weighted_fedavg,8,0.9022
10,iid,weighted_fedavg,9,0.9028
10,iid,weighted_fedavg,10,0.9044
10,iid,weighted_fedavg,11,0.9032
10,iid,weighted_fedavg,12,0.9027
10,iid,uniform_average,1,0.902
10,iid,uniform_average,2,0.9017
10,iid,uniform_average,3,0.9005
10,iid,uniform_average,4,0.9004
10,iid,uniform_average,5,0.9038
10,iid,uniform_average,6,0.9044
10,iid,uniform_average,7,0.9019
10,iid,uniform_average,8,0.9022
10,iid,uniform_average,9,0.9028
10,iid,uniform_average,10,0.9044
10,iid,uniform_average,11,0.9032
10,iid,uniform_average,12,0.9027
10,non_iid,weighted_fedavg,1,0.6531
10,non_iid,weighted_fedavg,2,0.6556
10,non_iid,weighted_fedavg,3,0.6368
10,non_iid,weighted_fedavg,4,0.638
10,non_iid,weighted_fedavg,5,0.6369
10,non_iid,weighted_fedavg,6,0.63
10,non_iid,weighted_fedavg,7,0.6324
10,non_iid,weighted_fedavg,8,0.6487
10,non_iid,weighted_fedavg,9,0.6404
10,non_iid,weighted_fedavg,10,0.638
10,non_iid,weighted_fedavg,11,0.646
10,non_iid,weighted_fedavg,12,0.6312
10,non_iid,uniform_average,1,0.6531
10,non_iid,uniform_average,2,0.6556
10,non_iid,uniform_average,3,0.6368
10,non_iid,uniform_average,4,0.638
10,non_iid,uniform_average,5,0.6369
10,non_iid,uniform_average,6,0.63
10,non_iid,uniform_average,7,0.6324
10,non_iid,uniform_average,8,0.6487
10,non_iid,uniform_average,9,0.6404
10,non_iid,uniform_average,10,0.638
10,non_iid,uniform_average,11,0.646
10,non_iid,uniform_average,12,0.6312
